User,Comment,Date,Comment_ID
The Woke Salaryman,"A disclaimer:   This comic is about how WE choose to invest. It’s not the be all and end all. There are other ways to invest, but this is the one we feel most comfortable with. (We feel like we gotta say this upfront, because investing is like a cult to some people – challenge their world-views and they go bonkers).   It won’t help you get rich quick overnight, but we believe it’s a pretty efficient way to go about doing things – and a much better alternative to just sitting on your butt without doing anything.   This comic also had to take some liberties when explaining analogies. There are space limitations when you create a 40-panel comic about investing, but we have tried – as much as possible – to create a piece of content that’s both entertaining and informative.   Finally, we think it’s important that before you have invest… you…  1) Pay off all your high interest debt (above 3%) 2) Have at least six months of living expenses (I’d go up to a year) 3) Have to understand that you might lose money and that this is a long term play (more than 10 years) 4) Get covered with proper health insurance   ^ If you’re not any of the above, please don’t invest your money. You need to save first.   For those who like reading, we’ve have an article about how we invest here:   https://thewokesalaryman.com/the-woke-salaryman-way-of-investing/  Further reading: https://thewokesalaryman.com/2019/07/13/what-most-20-somethings-dont-get-about-investing/",6/Oct/19 Oct,2404746286507544
The Woke Salaryman,"Wanted to put this in before, but we didn't have enough space. Putting this in the comments – if it helps you, please upvote this so more people can see.   For Stage 1: STI-ETF (Hill of Passive Investing)  If you're investing $100 per month, I think DBS Invest Saver gives the best rates. For amounts above $500 per month, consider OCBC or POEMS.   (I've found out the best way to get started on this is actually taking a day off, going down to a local branch in person and talk to a real person. Show them this comic and say you wanna do Stage 1. Any competent staff will be able to help you. )  For Stage 2: Global ETFs (Rock of Double Diversification)   Popular platforms to buy global ETFs in Singapore include Standard Charted (go get an account), Interactive Brokers and FundSuperMart.   Buying ETFs based on the London Stock Exchange is your best option because there's less tax (you can google it yourself, too long to explain in this comic)  To make a sweeping statement, if you're buying very frequently, it makes sense not to go with IB or FSM. Otherwise, all options are okay, as long as you spend at least $5,000 per transaction.   (All this is written this to the best of my knowledge, please use only as a guide and do your own research! )  - RM",6/Oct/19 Oct,2405280213120818
Shaikh Muhammad Najib Bahajjaj,Can we expect a book of all the compilation of your work soon? I’m very sure a lot of people will support and appreciate that,5/Oct/19 Oct,2404905803158259
Reo Caligaran,"Honestly, I am disappointed that all these effort of conveying information end up with promoting a trading lessons with fees.  Active trading is not even a game of probabilty, it’s a game of gamble. No one can ever know when it’s gonna pay your effort and when it can take all your money for trading in a daily basis. Stock is meant for long term investing not for trading and can beat the inflation.  This comics can be used by a lot of mentor-to-be and students are in no advantage. They will gamble for active trading. Google can help you already and many youtube videos.",5/Oct/19 Oct,2404777649837741
Rachel Ong Hui Lin,Would you also recommend this for 30-somethings who are just starting to wake up their idea?,6/Oct/19 Oct,2405337306448442
Mark Allan Tajan,Can i share this?,5/Oct/19 Oct,2404755276506645
Christopher Pascual,Sellout! jk,5/Oct/19 Oct,2405222359793270
Steve Lee,Abit marketing in the end but I like the information very good knowledge for us,2/hours/19 ago,2427384354243737
Rye Rosales,Thank you for making this. I was able to understand more because of this method of explaining,5/Oct/19 Oct,2405151673133672
Jian Kai Goh,"Thanks for educating about investments! As a younger person who hasn’t started working (still a derpy NSF), the idea of investing has always scared me especially hearing what older folk around me have to say about the dangers of it. This makes things so much clearer now!  Love all your work. Keep it up! Stay woke! ☺️👍🏻",5/Oct/19 Oct,2404765249838981
Alan Chua,Can i share? I so love this.,5/Oct/19 Oct,2404814376500735
Eugene Chung,"Thanks to your comic, I'm about to begin my ascend on hill of passive investing!",8/Oct/19 Oct,2407879209527585
Anthony Yeoh,Another good article. Great job guys!,5/Oct/19 Oct,2404765549838951
Yoan Christo,I've been reaching to the cliff of the direct investing for a years.,5/Oct/19 Oct,2404969259818580
Magdalene Shane Lee,"I was a professional stockbroker. SG market is not ideal for long term investing as many innovative ideas do not exist for breakout stocks. Many of the steady defensives eg REITs are dependent on rental-yield-growth (ie, squeezing businesses in malls). I find that ethically challenging for me.   The best way is to take part in a high growth business as an equity owner or investor.   Stock market is not always going to go up. The naive go all in. The prudent hold cash and await opportunities.   Active investing is hit or miss. You might think a stock might do well based on many things, but when an unfavorable wind blows, the investment falls through.",5/Oct/19 Oct,2404824676499705
Jere Boam Atam,Very nicely done,5/Oct/19 Oct,2404767639838742
Adam Sharizal,I want share this comic,5/Oct/19 Oct,2404756739839832
Hime Kang,Super informative! Gwendolyn Elise Wong Levon Lzl,5/Oct/19 Oct,2405092283139611
Hoerig Rebecca,What  if there is no  mountain to climb..,6/Oct/19 Oct,2405885536393619
Harry Chen,That’s so cute,5/Oct/19 Oct,2404954826486690
Timothy Tay,Do you need to climb Mount Everest to avoid a 1m rise in sea level?,5/Oct/19 Oct,2404989253149914
Jiachen Gan,Weishuen Khow very insightful!,8/Oct/19 Oct,2407138689601637
Merlyn Tan,Tam Jinhang please do some investments please thanks,6/Oct/19 Oct,2405739299741576
Muhammad Fahmi,Nadia Adam,6/Oct/19 Oct,2405885746393598
Md Aiman,Cute.,5/Oct/19 Oct,2404963929819113
Maria Diestro,Matti Megn,6/Oct/19 Oct,2405981719717334
Khairin Ilias,Ho Khinwai thought this was pretty useful!,5/Oct/19 Oct,2404777853171054
Chloe Choo,Mike Kwong,5/Oct/19 Oct,2404907029824803
Shenna Mae Tan,Muhd Shafie,5/Oct/19 Oct,2404804179835088
Debbie King,Aden Jowsey,6/Oct/19 Oct,2405749609740545
Héctor Bliss,Miguel,5/Oct/19 Oct,2405081086474064
Jess Harper,Taylor,6/Oct/19 Oct,2405945616387611
Hanna Custodio Lim,Wenbin Lim,5/Oct/19 Oct,2404766316505541
Yong Sheng,Don Koh Chong Shun Hong can read this. Quite good,Saturday/at/19 02:14,2424991471149692
Kenneth Setiadi,Carmen Tangy A good way to prepare,14/Oct/19 Oct,2412670702381769
