User,Comment,Date,Comment_ID
Nicholas Tan,"Interesting and valid points. However, it is good to start investing even with a few thousand in order to gain experience and lessons from the stock market",14/Jul/19 Jul,2339931389655701
Lolita Chiong,Ooooooooooohhhhhhhh,14/Jul/19 Jul,2339939279654912
Xen GK,"and make sure the 6 month salary tuck away is also generating interest, instead of chilling out in saving account.",13/Jul/19 Jul,2339898359659004
Teo Chek Yew,People don't understand that investing is a long term commitment. A lot around me gave up DCA cos they couldn't see the outcome they had initially hoped for. I gladly took over their units though 😂,14/Jul/19 Jul,2340539672928206
Looney Ng,"I strongly recommend the blue chip investment plans from OCBC. Or other similar ones from the local banks.   If you are putting the money aside now to invest, why not let it start investing immediately. To make full use of the low processing fee you should go with at least a thousand a month but 500 is also a good start.   It builds fast.",14/Jul/19 Jul,2340446626270844
Kenichi Xi,i always tot is buying big on Bitcoins.  Even ppl i met in gym ask me to at least buy a little.,14/Jul/19 Jul,2339901572992016
Phill Balding,I started with $5k I didn't wait - there's an added advantage of learning early while only small amounts are thrown around,15/Jul/19 Jul,2341037546211752
Tan DaiMin,Wong Tian Wen,14/Jul/19 Jul,2339922412989932
Leon Chok,Yijuan Foo good read,14/Jul/19 Jul,2339929602989213
Ashley Ong,Yew Joe Ong,14/Jul/19 Jul,2340231716292335
Casse Jessica,BK Lim this is very true,14/Jul/19 Jul,2340560656259441
Manilyn Castro - Reyes,Adrian Adh Reyes,4/Sep/19 Sep,2378412102474296
Kristine Luis,Daryl Anabu,11/Aug/19 Aug,2360577037591136
Katrina Telebrico,Oscar Wong,11/Aug/19 Aug,2360491457599694
Tim Fitzgerald,Tiffany Wang,11/Aug/19 Aug,2360462047602635
Wesley Adora,Lemuel Duñgo,21/Jul/19 Jul,2345468279102012
Tricia Ferdinandt,Senthil Kumar,31/Jul/19 Jul,2352421275073379
Gerald Tan,Tan Xin Han,30/Jul/19 Jul,2352087885106718
Eileen Cantillo Navarrete,Frances...,24/Aug/19 Aug,2370530616595778
Winson Saw,Wai Yong Tsang something good for u,30/Jul/19 Jul,2352216198427220
